Index,Name,Phone 
,,
1,Ballyhale Health Centre,056 776 8608
2,Ballyragget Medical Centre,056 883 3105
3,Bennettsbridge Health Centre,056 772 7256
4,CallanPrimary CareCentre,076 1082154
5,Castlecomer Health Centre,056 444 1542
6,Clogh Health Centre,056 444 2189
7,Castlecomer Health Centre,056 444 1300
8,Freshford Health Centre,056 883 2261
9,Gowran Health Centre,056 772 6265
10,Graiguenamanagh Health Centre,059 972 4495
11,Marley Health Centre,059 972 4245
12,Tinnahinch Health Centre,059 972 4267
13,Inistioge Health Centre,056 775 8465
15,Johnstown Health Centre,056 883 1618
16,Loughboy,056 7760613
17,Stoneyford Health Centre,056 772 8377
18,Kilmacow Health Centre,051 885 283
19,Mullinavat Health Centre,051 898 217
20,Paulstown Health Centre,059 972 6314
21,Rosbercon Health Centre,051 421 653
22,Thomastown Health Centre,056 772 4302
23,Urlingford Health Centre,056 883 1352
